settlement_type,old_name,new_name,raion,oblast,date_rename,decision_rename,who_rename,decision-publish_rename,vidomosti
село,Головецьке,Головецько,Старосамбірський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Гончарі,Гончари,Пустомитівський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 252-253"
село,Гончарівка,Яглуш,Рогатинський,Івано-Франківська,11.06.1993,3278-XII,Верховна Рада України,20.07.1993,"29, ст. 317"
село,Гориня,Гериня,Долинський,Івано-Франківська,05.04.1996,,Івано-Франківська обласна рада,04.06.1996,"23, стор. 308"
село,Горінчове,Горінчово,Хустський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 516"
місто,Горішні Плавні,Горішні Плавні,Горішні Плавні,Полтавська,21.06.2016,,Полтавська обласна рада,30.06.2017,"26, с. 32"
село,Горохуватка,Гороховатка,Борівський,Харківська,23.12.2005,,Харківська обласна рада,21.07.2006,"29, стор.1092"
село,Горького,Антішки,Срібнянський,Чернігівська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
селище,Горького,Дачне,Торецьк,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
селище,Горького,Горького,Торецьк,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
місто,Готвальд,Зміїв,Зміївський,Харківська,02.08.1990,140-XII,Верховна Рада України,14.08.1990,"33, ст. 475"
село,Грабарів,Галабор,Берегівський,Закарпатська,21.09.1991,1592-XII,Верховна Рада України,03.12.1991,"49, ст. 698"
село,Грабове,Грабово,Мукачівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Гребенці,Гребінці,Жовківський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 252-253"
село,Григорівка,Мильники,Ніжинський,Чернігівська,12.05.2016,"1353-VIII, ч. 5",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Григоро-Іванівка,Ніжинське,Ніжинський,Чернігівська,12.05.2016,"1353-VIII, ч. 5",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Гришине,Гаврилівка,Роменський,Сумська,19.05.2016,1377-VIII. ч. 6,Верховна Рада України,10.06.2016,"24, ст. 497"
село,Грозова,Грозьове,Старосамбірський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Грушеве,Грушово,Тячевський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 516"
село,Грушки,Батиїв,Радехівський,Львівська,18.03.1991,847-ХІІ,Верховна Рада України,09.04.1991,"15, ст. 184"
село,Гуляницьке,Покровське,Врадіївський,Миколаївська,19.05.2016,"1377-VIII, ч. 4",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Дамаски,Дамаска,Зіньківський,Полтавська,28.02.1995,,Полтавська обласна рада,14.03.1995,"11, стор. 236-237"
село,Данилове,Данилово,Хустський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 516"
село,Данине,Данина,Ніжинський,Чернігівська,07.09.2016,1496-VIII,Верховна Рада України,23.09.2016,"39, ст. 605"
село,Демченкове,Демченки,Глобинський,Полтавська,28.02.1995,,Полтавська обласна рада,14.03.1995,"11, стор. 236-237"
село,Деревці,Батфа,Ужгородський,Закарпатська,02.03.1995,137/95-ПВ,Верховна Рада України,04.04.1995,"14, ст. 98"
село,Деренковець,Шом,Берегівський,Закарпатська,02.03.1995,137/95-ПВ,Верховна Рада України,04.04.1995,"14, ст. 98"
село,Десятиріччя Жовтня,Десятиріччя Жовтня,Більмацький,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Десятиріччя Жовтня,Бережне,Більмацький,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Дзвінкове,Горонглаб,Берегівський,Закарпатська,02.03.1995,137/95-ПВ,Верховна Рада України,04.04.1995,"14, ст. 98"
село,Дзержинівка,Іверське,Солонянський,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
місто,Дзержинськ,Торецьк,Торецьк,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Дзержинськ,Лісове,Ємільчинський,Житомирська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
смт,Дзержинськ,Романів,Дзержинський,Житомирська,09.07.2003,1076-IV,Верховна Рада України,09.01.2004,"2, ст.20"
смт,Дзержинськ,Романів,Романівський,Житомирська,09.07.2003,1076-IV,Верховна Рада України,09.01.2004,"2, ст.20"
селище,Дзержинське,Мирне,,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Дзержинське,Єрмішкове,Великомихайлівський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Дзержинське,Придніпрянське,Кременчуцький,Полтавська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
