settlement_type,old_name,new_name,raion,oblast,date_rename,decision_rename,who_rename,decision-publish_rename,vidomosti
село,Жовтневе,Бубельня,Монастирищенський,Черкаська,19.05.2016,"1377-VIII, ч. 7",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Жовтневе,Мукша Китайгородська,Кам'янець-Подільський,Хмельницька,19.05.2016,"1377-VIII, ч. 7",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Жовтневе,Нові Терешки,Красилівський,Хмельницька,19.05.2016,"1377-VIII, ч. 7",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Жовтневе,Нова Ольшана,Ічнянський,Чернігівська,19.05.2016,"1377-VIII, ч. 7",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Жовтневе,Рождественське,Коропський,Чернігівська,19.05.2016,"1377-VIII, ч. 7",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Жовтневе,Верхове,Близнюківський,Харківська,14.07.2016,1465-VIII,Верховна Рада України,05.08.2016,32. ст. 560
село,Жовтневе,Забереж,Хустський,Закарпатська,14.07.2016,1467-VIII,Верховна Рада України,05.08.2016,"32, ст. 562"
село,Жовтневе,Жереб'ятин,Бориспільський,Київська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Зелений Яр,Кагарлицький,Київська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Квітневе,Попільнянський,Житомирська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Джерельне,Сватівський,Луганська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Кленове,Гайворонський,Кіровоградська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Соборне,Тернопільський,Тернопільська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Високе,Барвінківський,Харківська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Замулівка,Вовчанський,Харківська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Лиман,Вовчанський,Харківська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
селище,Жовтневе,Лагідне,Лозівський,Харківська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
селище,Жовтневе,Слобожанське,Балаклійський,Харківська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Жовтневе,Вознесенське,Згурівський,Київська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Жовтневе,Дмитрівка,Бородянський,Київська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Жовтневе,Кулішеве,Петриківський,Дніпропетровська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Жовтневе,Вишневе,Любашівський,Одеська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Миролюбівка,Новомиргородський,Кіровоградська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Покровське,Лубенський,Полтавська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Сотницьке,Гребінківський,Полтавська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Степове,Гадяцький,Полтавська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Яблучко,Бобринецький,Кіровоградська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Вишневе,Сумський,Сумська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Соснівка,Недригайлівський,Сумська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Степове,Лебединський,Сумська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Благодатне,Чаплинський,Херсонська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Високе,Золочівський,Харківська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Калинівка,Первомайський,Харківська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
селище,Жовтневе,Калинове,Золочівський,Харківська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
селище,Жовтневе,Покровське,Балаклійський,Харківська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
селище,Жовтневе,Світанок,Голопристанський,Херсонська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Дмитрівка,Прилуцький,Чернігівська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Лісове,Волочиський,Хмельницька,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Покровське,Менський,Чернігівська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Жовтневе,Вишневе,Калинівський,Вінницька,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Попівці,Погребищенський,Вінницька,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
смт,Жовтневе,Благодатне,Нововолинськ,Волинська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Калинівка,Олевський,Житомирська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Лебедине,Устинівський,Кіровоградська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Нова Чорнорудка,Ружинський,Житомирська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Оленокостянтинівка,Гуляйпільський,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Покровське,Токмацький,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Студеники,Переяслав-Хмельницький,Київська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Форойс,Розівський,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
смт,Жовтневе,Миролюбів,Лугинський,Житомирська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Зарічне,Глобинський,Полтавська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Докторове,Ширяївський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Каракурт,Болградський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Кащівка,Козельщинський,Полтавська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Крижанівка,Ширяївський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтневе,Шпичинці,Хмельницький,Хмельницька,21.02.1994,3971-XII,Верховна Рада України,14.06.1994,"24, ст. 194"
село,Жовтневе,Кобиловолоки,Теребовлянський,Тернопільська,31.10.1990,424-XII,Верховна Рада України,13.11.1990,"46, ст. 615"
село,Жовтневе,Дяків,Славутський,Хмельницька,19.10.1995,395/95-ВР,Верховна Рада України,19.09.1995,"38, ст. 294"
село,Жовтневе,Македонівка,Володарський,Донецька,24.06.1991,1240-ХІІ,Верховна Рада України,30.07.1991,"31, ст. 412"
село,Жовтневе Друге,Миколаївка,Вовчанський,Харківська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
селище,Жовтневий Промінь,Журавлине,Чорнобаївський,Черкаська,12.05.2016,"1353-VIII, ч. 4",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Жовтнівка,Виноград,Березівський,Одеська,19.05.2016,1377-VIII. ч. 5,Верховна Рада України,10.06.2016,"24, ст. 497"
село,Жукове,Жуково,Мукачівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
смт,Журавне,Журавно,Жидачівський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 251"
село,Заболоття,Фертешолмаш,Виноградівський,Закарпатська,19.10.2000,2060-III,Верховна Рада України,08.12.2000,"49, ст.433"
село,Завидове,Завидово,Мукачівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Завозів,Завизів,Острозький,Рівненська,29.05.2009,,Рівненська обласна рада,17.07.2009,"29, стор.1081-1082"
село,Загірні,Загір'я,Жовківський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 252-253"
село,Загірочка,Загірочко,Жидачівський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 251"
село,Задеревці,Воля-Задеревацька,Стрийський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 253-254"
місто,Залізне,Залізне,Торецьк,Донецька,23.06.2016,,Донецька обласна рада,13.01.2017,"2, с. 51"
смт,Заложці,Залізці,Зборівський,Тернопільська,09.10.1992,,Тернопільська обласна рада,24.11.1992,"47, стор. 1443"
смт,Заложці,Залізці,Зборівський,Тернопільська,09.10.1992,,Тернопільська обласна рада,24.11.1992,"47, стор. 1443"
село,Замагорів,Замагора,Верховинський,Івано-Франківська,15.07.1993,,Івано-Франківська обласна рада,28.09.1993,"38, стор. 954"
село,Заможне,Чермалик,Тельманівський,Донецька,15.12.1999,1304-XIV,Верховна Рада України,06.01.2000,"1, ст.12"
село,Замостя,Замістя,Прилуцький,Чернігівська,05.06.2009,,Чернігівська обласна рада,17.07.2009,"29, стор.1082"
село,Зарічеве,Зарічово,Перечинський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Заставне,Запсонь,Берегівський,Закарпатська,21.09.1991,1592-XII,Верховна Рада України,03.12.1991,"49, ст. 698"
село,Затока,Кароліно-Бугаз,Овідіопольський,Одеська,31.10.1990,422-XII,Верховна Рада України,13.11.1990,"46, ст. 613"
селище,Здобуток Жовтня,Здобуток,Тальнівський,Черкаська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Зелена,Зелене,Верховинський,Івано-Франківська,15.07.1993,,Івано-Франківська обласна рада,28.09.1993,"38, стор. 954"
село,Зелений Мис,Страхолісся,Іванківський,Київська,09.10.1989,8230-XI,Верховна Рада України,24.10.1989,"43, ст. 597"
село,Злинці,Злинець,Дубенський,Рівненська,23.09.2008,581-VI,Верховна Рада України,06.02.2009,"6, ст.64"
село,Зміївка,Кідьош,Берегівський,Закарпатська,21.09.1991,1592-XII,Верховна Рада України,03.12.1991,"49, ст. 698"
село,Зняцеве,Зняцьово,Мукачівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Золотареве,Золотарьово,Хустський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 516"
селище,Зоря Комунізму,Зоря,П'ятихатський,Дніпропетровська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Зоряне,Трійця,Борщівський,Тернопільська,20.04.1992,2279-XII,Верховна Рада України,28.07.1992,"30, ст. 431"
місто,Зугрес,Зугрес,Харцизьк,Донецька,28.04.2009,,Донецька обласна рада,14.08.2009,"32-33, стор.1252"
село,Івана-Франка,Нагуєвичі,Дрогобицький,Львівська,25.06.2009,1597-VI,Верховна Рада України,27.11.2009,"47-48,ст.725"
село,Іванівка,Іванівці,Коломийський,Івано-Франківська,28.11.2002,337-IV,Верховна Рада України,03.01.2003,"1, ст.5"
село,Іванівка,Яноші,Берегівський,Закарпатська,02.03.1995,137/95-ПВ,Верховна Рада України,04.04.1995,"14, ст. 98"
село,Іванне,Іваннє,Дубенський,Рівненська,23.09.2008,581-VI,Верховна Рада України,06.02.2009,"6, ст.64"
село,Івачкове,Івачків,Здолбунівський,Рівненська,23.09.2008,581-VI,Верховна Рада України,06.02.2009,"6, ст.64"
село,Ілліча,Нова Козача,Дергачівський,Харківська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Ілліча,Іллінівка,Костянтинівський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Іллічівка,Озерне,,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
селище,Іллічівка,Лісне,Голованівський,Кіровоградська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Іллічівка,Іванівка,Братський,Миколаївська,19.05.2016,"1377-VIII, ч. 4",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Іллічівка,Зайцеве,Троїцький,Луганська,19.05.2016,"1377-VIII, ч. 3",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Іллічівка,Рідне,Барвінківський,Харківська,12.05.2016,"1353-VIII, ч. 4",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Іллічівка,Ілічанка,Комінтернівський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Іллічівка,Мирне,Охтирський,Сумська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Іллічівка,Вищепанівка,Світловодський,Кіровоградська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
місто,Іллічівськ,Чорноморськ,Чорноморськ,Одеська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Іллічівське,Покровське,Першотравневий,Донецька,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Імстичеве,Імстичево,Іршавський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Індустріальне,Братське,Голопристанський,Херсонська,12.05.2016,"1353-VIII, ч. 4",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Індустріальне,Півневе;,Кремінський,Луганська,19.05.2016,"1377-VIII, ч. 3",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Інтернаціональне,Батющки,Близнюківський,Харківська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Інтернаціональне,Довге,Васильківський,Дніпропетровська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Ісаїв,Ісаї,Турківський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 253-254"
село,Іскра,Новожуків,Рівненський,Рівненська,19.05.2016,1377-VIII. ч. 5,Верховна Рада України,10.06.2016,"24, ст. 497"
село,Ївженка,Ївженки,Пирятинський,Полтавська,28.02.1995,,Полтавська обласна рада,14.03.1995,"11, стор. 236-237"
село,Йосипівка,Яромель,Ківерцівський,Волинська,14.09.1989,8114-XI,Верховна Рада України,26.09.1989,"39, ст. 516"
село,Йосипівка,Городок,Луцький,Волинська,03.06.1991,1129-XII,Верховна Рада України,02.07.1991,"27, ст. 332"
село,Кайданове,Кайданово,Мукачівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Калинівка,Сторожівка,Сватівський,Луганська,19.05.2016,"1377-VIII, ч. 3",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Калинівка,Жовчів,Рогатинський,Івано-Франківська,11.06.1993,3278-XII,Верховна Рада України,20.07.1993,"29, ст. 317"
селище,Калініна,Калініна,Бахмутський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
селище,Калініна,Калинівка,Оріхівський,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
селище,Калініна,Калинівка,Бахмутський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Калініна,Калинівка,Криворізький,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
селище,Калініна,Манжиків Кут,Старобешівський,Донецька,12.05.2016,"1351-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Калініне,Калинівка,Красноармійський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Калініне,Калініне,Бойківський,Донецька,12.05.2016,"1351-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Калініне,Калинове,Волноваський,Донецька,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Калініне,Білоконівка,Кобеляцький,Полтавська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Калініне,Білокриничне,Бойківський,Донецька,12.05.2016,"1351-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Калініне,Джерельне,Троїцький,Луганська,19.05.2016,"1377-VIII, ч. 3",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Калініне,Богданівка,Тульчинський,Вінницька,17.05.1995,281/95-ПВ,Верховна Рада України,16.05.1995,"20, ст. 151"
смт,Калінінське,Калинівське,Великоолександрівський,Херсонська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
селище,Калінінське,Суха Грунь,Липоводолинський,Сумська,19.05.2016,1377-VIII. ч. 6,Верховна Рада України,10.06.2016,"24, ст. 497"
смт,Калінінський,Кундрюче,Довжанськ,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
смт,Калінінський,Калінінський,Довжанськ,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Камінна,Камінне,Надвірнянський,Івано-Франківська,15.03.1994,,Івано-Франківська обласна рада,12.04.1994,"15, стор. 411"
смт,Кам'яне,Кам'яна,Вільнянський,Запорізька,11.02.1986,,Запорізька обласна рада,01.01.1987,"Довідник ""УРСР. АТУ"", стор. 498"
село,Канава,Зелена Діброва,Зарічненський,Рівненська,09.03.1987,3679-XI,Верховна Рада України,24.03.1987,"12, ст. 219"
село,Капустинці,Капустенці,Прилуцький,Чернігівська,05.06.2009,,Чернігівська обласна рада,17.07.2009,"29, стор.1082"
село,Карла Лібкнехта,Мар'ївка,Лутугинський,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Карла Лібкнехта,Зоря,Розівський,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Карла Маркса,Калинівка,Магдалинівський,Дніпропетровська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Карла Маркса,Саксагань,Верхньодніпровський,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Карла Маркса,Мирне,Великоновосілківський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Карла Маркса,Троїцьке,Бердянський,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Карла Маркса,Нові Жадьки,Черняхівський,Житомирська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Карла Маркса,Вербове,Носівський,Чернігівська,12.05.2016,"1353-VIII, ч. 5",Верховна Рада України,03.06.2016,"23, ст. 479"
місто,Карло-Лібкнехтівськ,Соледар,Артемівськ,Донецька,05.07.1991,1301-XII,Верховна Рада України,20.08.1991,"34, ст. 454"
село,Карло-Марксівське,Щасливе,Великоолександрівський,Херсонська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
смт,Карло-Марксове,Софіївка,Єнакієве,Донецька,12.05.2016,"1351-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Карпеки,Карпоки,Козелецький,Чернігівська,03.02.2009,,Чернігівська обласна рада,20.03.2009,"12, стор.440"
село,Катине,Катина,Старосамбірський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Катуш,Котуш,Камінь-Каширський,Волинська,26.12.2002,379-IV,Верховна Рада України,14.02.2003,"7, ст.78"
село,Каштанове,Каштаново,Берегівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Квасове,Квасово,Берегівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Кизилівка,Кизилове,Сімферопольський,Автономна Республіка Крим,15.03.2012,4535-VI,Верховна Рада України,19.10.2012,"42, ст. 545"
село,Киликіїв,Киликиїв,Славутський,Хмельницька,03.09.1993,,Хмельницька обласна рада,02.11.1993,"44, стор. 1044"
село,Кимличка,Кімличка,Липоводолинський,Сумська,13.05.2015,404-VIII,Верховна Рада України,19.06.2015,"25, ст. 207"
село,Кібті,Кіпті,Жовківський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 252-253"
село,Ківшувата,Ківшовата,Таращанський,Київська,23.06.1989,,Київська обласна рада,01.08.1989,"31, стор. 355"
село,Кім,Четвертакове,Середино-Будський,Сумська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Кімівка,Калинівка,Березанський,Миколаївська,19.05.2016,"1377-VIII, ч. 4",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Кімнатка,Кімната,Кременецький,Тернопільська,17.06.2009,,Тернопільська обласна рада,14.08.2009,"32-33, стор.1252"
село,Кімовка,Черкаське,Криничанський,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірова,Семененкове,Вільнянський,Запорізька,19.05.2016,"1377-VIII, ч. 2",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Кірове,Трояндове,Комінтернівський,Одеська,19.05.2016,1374-VIII,Верховна Рада України,10.06.2016,"24, ст. 494"
село,Кірове,Рачки,Немирівський,Вінницька,19.05.2016,"1377-VIII, ч. 1",Верховна Рада України,10.06.2016,"24, ст  497"
село,Кірове,Лиманець,Бериславський,Херсонська,12.05.2016,"1353-VIII, ч. 4",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Квітневе,Близнюківський,Харківська,12.05.2016,"1353-VIII, ч. 4",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Пальчиківка,Полтавський,Полтавська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Лебедине,Кобеляцький,Полтавська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Вишневе,Великомихайлівський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Благодатне,Роздільнянський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Корнилівка,Корсунь-Шевченківський,Черкаська,19.05.2016,"1377-VIII, ч. 7",Верховна Рада України,10.06.2016,"24, ст. 497"
селище,Кірове,Верезамське,Старобешівський,Донецька,12.05.2016,"1351-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Кірове,Грузьке,Бобринецький,Кіровоградська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Кірове,Бокове,Долинський,Кіровоградська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Кірове,Кучаків,Бориспільський,Київська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Кірове,Калинове,Іванківський,Київська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Кірове,Гурського,Запорізький,Запорізька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Кірове,Свято-Покровське,Бахмутський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Кірове,Келерівка,Володарський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Кірове,Кірове,Бахмутський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Кірове,Таврійське,Оріхівський,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Лагідне,Токмацький,Запорізька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Зарічне,Миколаївський,Миколаївська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Чистопіль,Нікопольський,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Лісове,Криворізький,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Крутеньке,Томаківський,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кірове,Троїцьке,Новгород-Сіверський,Чернігівська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Кірове,Щасливе,Іванівський,Херсонська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
смт,Кірове,Північне,Торецьк,Донецька,19.05.2016,"1377-VIII, ч. 2",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Кірове,Перетічки,Недригайлівський,Сумська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Кірове,Таврійське,Білозерський,Херсонська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Кіровка,Степове,Новоодеський,Миколаївська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Кіровка,Мирне,Калинівський,Вінницька,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кіровка,Дрозди,Покровський,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Кіровка,Крута Балка,Криничанський,Дніпропетровська,19.05.2016,"1377-VIII, ч. 1",Верховна Рада України,10.06.2016,"24, ст  497"
село,Кіровка,Миролюбівка,Маловисківський,Кіровоградська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Кіровка,Данилівка,Криворізький,Дніпропетровська,19.05.2016,"1377-VIII, ч. 1",Верховна Рада України,10.06.2016,"24, ст  497"
село,Кіровка,Платонівка,Носівський,Чернігівська,19.05.2016,"1377-VIII, ч. 7",Верховна Рада України,10.06.2016,"24, ст. 497"
